precision,f1-score,kappa,recall,last_precision,last_f1-score,last_kappa,last_recall,precision_pred_0_with_drift,precision_pred_0_without_drift,f1-score_pred_0_with_drift,f1-score_pred_0_without_drift,kappa_pred_0_with_drift,kappa_pred_0_without_drift,recall_pred_0_with_drift,recall_pred_0_without_drift
0.7857142857142857,0.8741721854304635,0.5057232049947971,0.9850746268656716,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.76,0.8636363636363636,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.73,0.8439306358381503,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.74,0.8505747126436781,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.61,0.7577639751552795,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.6666666666666666,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.6206896551724138,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37,0.5401459854014599,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4675324675324675,0.5714285714285714,0.0,0.7346938775510204,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3538461538461538,0.4070796460176991,0.0,0.4791666666666667,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3770491803278688,0.4220183486238532,0.0,0.4791666666666667,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4054054054054054,0.4838709677419355,0.0,0.6,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.6666666666666666,0.0740740740740741,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.61,0.7577639751552795,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.7499999999999999,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.62,0.7654320987654321,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.47,0.6394557823129251,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.57,0.7261146496815287,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.6666666666666666,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5903614457831325,0.7153284671532847,0.1765202702702702,0.9074074074074074,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6307692307692307,0.7068965517241379,0.3158953722334005,0.803921568627451,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7384615384615385,0.7804878048780489,0.4327731092436975,0.8275862068965517,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6388888888888888,0.736,0.3221035332785539,0.8679245283018868,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.52,0.6842105263157895,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44,0.6111111111111112,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42,0.5915492957746479,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.51,0.6754966887417219,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.64,0.7804878048780487,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.79,0.8826815642458101,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.96,0.979591836734694,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9550561797752808,0.9392265193370166,0.3619489559164732,0.9239130434782608,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8923076923076924,0.8854961832061069,0.668141592920354,0.8787878787878788,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8095238095238095,0.8360655737704918,0.580360889634914,0.864406779661017,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6333333333333333,0.7238095238095237,0.4313725490196078,0.8444444444444444,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5888888888888889,0.7412587412587412,0.2226890756302519,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6702127659574468,0.802547770700637,0.1960580912863071,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.74,0.8505747126436781,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.74,0.8505747126436781,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.7499999999999999,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.6666666666666666,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44,0.6111111111111112,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4193548387096774,0.5652173913043478,0.0,0.8666666666666667,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5873015873015873,0.6324786324786325,0.1217320261437908,0.6851851851851852,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3793103448275862,0.4536082474226804,0.0,0.5641025641025641,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.56,0.5957446808510639,0.24,0.6363636363636364,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4078947368421052,0.5688073394495412,0.2012236573759348,0.9393939393939394,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4666666666666667,0.6363636363636364,0.148936170212766,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42,0.5915492957746479,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.59,0.7421383647798743,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.67,0.8023952095808384,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.91,0.9528795811518324,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.92,0.9583333333333334,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.9189189189189187,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8285714285714286,0.758169934640523,0.0,0.6987951807228916,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8125,0.7123287671232876,0.0,0.6341463414634146,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.890625,0.7549668874172185,0.0665993945509586,0.6551724137931034,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8095238095238095,0.8292682926829269,0.054054054054054,0.85,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.79,0.8826815642458101,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.787878787878788,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.54,0.7012987012987013,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.7096774193548387,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.52,0.6842105263157895,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.54,0.7012987012987013,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.7499999999999999,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6363636363636364,0.6577181208053691,0.0,0.6805555555555556,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4615384615384615,0.4878048780487805,0.0,0.5172413793103449,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6153846153846154,0.6015037593984962,0.0,0.5882352941176471,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5897435897435898,0.6618705035971222,0.0,0.7540983606557377,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.67,0.8023952095808384,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.8571428571428571,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.76,0.8636363636363636,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.72,0.8372093023255813,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.72,0.8372093023255813,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.81,0.8950276243093923,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.888888888888889,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9397590361445785,0.9285714285714286,0.553903345724907,0.9176470588235294,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7846153846153846,0.7669172932330828,0.3049327354260089,0.75,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5846153846153846,0.6333333333333333,0.0927835051546391,0.6909090909090909,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
