f1-score,precision,recall,kappa,last_f1-score,last_precision,last_recall,last_kappa,f1-score_pred_0_with_drift,f1-score_pred_0_without_drift,precision_pred_0_with_drift,precision_pred_0_without_drift,recall_pred_0_with_drift,recall_pred_0_without_drift,kappa_pred_0_with_drift,kappa_pred_0_without_drift
0.8513513513513513,0.7777777777777778,0.9402985074626866,0.4424733907754689,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8439306358381503,0.7525773195876289,0.9605263157894736,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8372093023255814,0.7272727272727273,0.9863013698630136,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8604651162790697,0.7551020408163265,1.0,0.1097922848664688,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7721518987341772,0.6288659793814433,1.0,0.0922844175491678,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.704225352112676,0.5434782608695652,1.0,0.16,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6521739130434783,0.4838709677419355,1.0,0.1160220994475137,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5873015873015873,0.4157303370786517,1.0,0.1353508480212837,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7596899224806202,0.6125,1.0,0.3873517786561264,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.712121212121212,0.5595238095238095,0.9791666666666666,0.2601246105919003,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7343750000000001,0.5875,0.9791666666666666,0.3359375,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6865671641791046,0.5476190476190477,0.92,0.16,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.656,0.5324675324675324,0.8541666666666666,0.158183241973375,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.6506024096385542,0.8852459016393442,0.1576977070659803,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7999999999999999,0.72,0.9,0.4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8794326241134751,0.7848101265822784,1.0,0.6050185873605948,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8392857142857142,0.7230769230769231,1.0,0.6463654223968567,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9421487603305784,0.890625,1.0,0.8542880932556203,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8928571428571428,0.8064516129032258,1.0,0.76,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8852459016393442,0.7941176470588235,1.0,0.7116968698517299,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.864406779661017,0.7611940298507462,1.0,0.6778091018928716,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8592592592592593,0.7532467532467533,1.0,0.5840630472854642,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
